,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v16,v17,v18,v19,v20,v21,classlabel
22,v,g,35.25,f,4.0,b,f,80.0,0.00165,0,y,4.09,f,c,800000.0,0,p,0,t,f,0
23,bb,g,24.33,f,4.5,a,f,200.0,0.00025,0,y,2.51,f,i,2000000.0,456,p,1,f,f,0
24,v,g,15.75,f,1.0,a,f,120.0,3.75e-05,0,u,2.88,f,c,1200000.0,18,g,1,f,f,0
25,h,s,45.0,f,1.0,a,f,240.0,0.0004585,0,u,2.6,t,k,2400000.0,0,g,0,f,f,0
26,h,g,30.42,f,0.04,a,t,0.0,0.0001375,3,u,3.55,f,W,0.0,33,g,1,f,f,0
27,v,g,17.25,f,0.04,b,f,160.0,0.0003,0,u,3.57,t,k,1600000.0,40,g,0,f,f,0
28,v,g,38.58,f,13.5,a,f,980.0,0.0005,0,u,3.23,t,cc,9800000.0,0,g,1,f,t,0
29,v,g,22.67,f,1.585,b,t,400.0,7.5e-05,1,u,5.08,t,i,4000000.0,9,g,0,f,f,0
30,j,g,49.0,f,0.0,a,f,100.0,0.00015,0,u,3.18,t,j,1000000.0,27,g,1,f,t,0
31,v,g,27.83,f,2.25,b,t,100.0,0.00015,1,u,3.21,t,W,1000000.0,3,g,1,f,f,0
32,v,g,16.5,f,0.25,a,t,108.0,0.000125,1,u,2.63,f,q,1080000.0,98,g,1,f,f,0
33,v,g,25.67,f,4.0,b,f,188.0,0.000221,0,y,3.1,f,aa,1880000.0,0,p,1,f,t,0
34,v,g,36.67,f,0.25,b,f,221.0,0.0002,0,u,3.5,t,i,2210000.0,0,g,0,f,f,0
35,v,g,26.17,f,1.165,b,f,100.0,8.35e-05,0,u,3.74,f,cc,1000000.0,0,g,1,f,f,0
36,h,g,47.25,t,2.75,a,t,333.0,7.5e-05,1,u,4.29,f,q,3330000.0,892,g,0,t,f,1
37,v,g,33.67,t,0.375,a,f,300.0,3.75e-05,0,u,3.22,f,cc,3000000.0,44,g,1,f,f,1
38,h,g,45.0,t,14.0,b,t,88.0,0.00085,1,u,4.72,t,cc,880000.0,2000,g,1,f,t,1
39,h,g,33.17,t,6.5,b,f,164.0,0.00010400000000000001,0,u,1.54,t,r,1640000.0,31285,g,0,t,f,1
40,h,g,25.0,t,1.04,a,f,160.0,8.75e-05,0,u,3.94,t,x,1600000.0,5860,g,1,f,t,1
41,v,g,26.67,t,1.0,b,t,160.0,0.000175,5,y,2.8,t,c,1600000.0,5777,p,1,f,t,1
42,v,g,48.5,t,0.125,b,f,225.0,0.000425,0,u,4.64,t,m,2250000.0,0,g,1,f,t,1
43,v,g,37.42,t,0.04,b,f,400.0,0.000204,0,u,2.96,t,W,4000000.0,5800,g,1,f,t,1
44,n,g,18.0,t,0.21,b,f,200.0,1.65e-05,0,u,4.64,f,q,2000000.0,40,g,1,f,f,1
45,ff,g,56.5,t,0.0,a,t,0.0,0.0016,15,u,3.36,f,j,0.0,247,g,0,t,f,1
46,v,g,25.75,t,1.46,b,t,312.0,5e-05,5,u,1.44,t,c,3120000.0,0,g,1,f,t,1
47,v,g,22.58,t,0.415,a,t,0.0,0.001075,5,u,2.87,t,q,0.0,560,g,1,f,t,1
48,h,g,33.17,t,2.04,b,t,180.0,0.000304,1,y,1.58,t,c,1800000.0,18027,p,1,f,t,1
49,h,g,32.0,t,0.04,b,f,393.0,0.000175,0,y,3.5,t,e,3930000.0,0,p,0,t,f,1
50,h,g,40.83,t,1.75,a,f,29.0,0.001,0,u,5.22,f,q,290000.0,837,g,1,f,t,1
51,v,g,59.67,t,0.125,b,f,260.0,0.000154,0,u,1.05,t,q,2600000.0,0,g,1,f,t,1
52,v,g,42.5,t,3.165,b,f,52.0,0.0004915,0,y,4.3,t,W,520000.0,1442,p,1,f,t,1
53,z,g,28.08,t,0.0,a,f,0.0,0.0015,0,y,1.92,f,e,0.0,13212,p,1,f,t,1
54,v,g,37.75,t,0.125,a,f,228.0,0.00055,0,u,5.14,t,q,2280000.0,0,g,1,f,t,1
55,v,g,53.92,t,8.665,b,t,0.0,0.0009625,5,u,4.7,f,e,0.0,0,g,1,f,t,1
56,bb,g,47.67,t,15.0,b,t,0.0,2.8999999999999997e-05,20,u,2.48,f,c,0.0,15000,g,0,t,f,1
57,v,s,23.25,t,0.835,b,f,300.0,0.0001,0,u,3.06,f,c,3000000.0,0,g,0,t,f,1
58,h,g,22.67,t,2.585,b,f,0.0,0.000254,0,y,3.25,f,c,0.0,0,p,0,t,f,1
59,ff,g,54.58,t,14.415,b,t,30.0,0.0009415,11,u,2.94,t,ff,300000.0,300,g,1,f,t,1
60,h,g,34.25,t,7.415,b,f,0.0,0.0003,0,u,5.9,t,cc,0.0,0,g,1,f,t,1
61,v,g,27.58,t,2.0,b,t,370.0,0.000204,3,y,3.45,t,aa,3700000.0,560,p,0,t,f,1
62,j,g,46.0,t,0.0,a,f,100.0,0.0004,0,u,2.61,f,j,1000000.0,960,g,1,f,t,1
63,v,g,60.92,t,4.0,a,t,0.0,0.0005,4,u,3.96,f,aa,0.0,99,g,0,t,f,1
64,v,g,47.42,t,13.875,a,t,519.0,0.0003,2,u,3.52,t,x,5190000.0,1704,g,1,f,t,1
65,h,g,37.33,t,4.25,b,t,93.0,0.00065,12,u,3.25,t,m,930000.0,0,g,0,t,f,1
66,v,g,33.25,f,2.5,a,f,0.0,0.00025,0,y,3.23,t,c,0.0,2,p,1,f,f,0
67,h,g,24.58,f,1.75,a,f,400.0,6.7e-05,0,u,3.77,f,aa,4000000.0,0,g,1,f,t,0
68,v,g,21.83,f,0.085,b,f,356.0,0.000154,0,u,2.26,t,k,3560000.0,0,g,1,f,f,0
69,v,g,15.17,f,1.0,b,f,600.0,0.0007,0,u,2.16,f,e,6000000.0,0,g,0,f,f,0
70,v,g,22.92,f,0.165,b,f,160.0,0.0003165,0,y,4.97,f,c,1600000.0,1058,p,0,f,f,0
71,ff,s,69.5,f,0.0,a,f,0.0,0.0006,0,u,1.26,f,ff,0.0,0,g,1,f,f,0
72,v,g,33.0,f,7.0,b,f,280.0,0.00025,0,y,3.33,t,W,2800000.0,0,p,0,f,f,0
73,j,g,23.0,f,0.0,a,t,200.0,0.0001835,1,u,2.23,f,j,2000000.0,53,g,0,f,f,0
74,v,g,22.0,f,0.29,b,t,420.0,7.900000000000001e-05,1,u,3.59,f,W,4200000.0,283,g,0,f,f,0
75,v,g,24.75,f,1.0,b,f,120.0,5.4000000000000005e-05,0,u,4.33,t,m,1200000.0,1,g,0,f,f,0
76,v,g,20.75,f,0.29,b,f,140.0,0.0005085,0,y,1.25,f,j,1400000.0,184,p,0,f,f,0
77,v,s,23.0,f,0.5,b,f,320.0,7.5e-05,0,u,4.22,t,m,3200000.0,0,g,0,t,f,0
78,v,s,20.67,f,2.0,b,f,240.0,8.35e-05,0,y,3.27,t,c,2400000.0,0,p,0,f,f,0
79,ff,g,48.75,f,0.0,b,f,0.0,0.0026335,0,y,1.97,t,ff,0.0,0,p,1,f,t,0
80,ff,g,51.83,f,1.5,b,f,180.0,0.0003,0,y,1.39,f,ff,1800000.0,4,p,0,f,f,0
81,v,g,22.75,f,0.415,b,f,0.0,0.00115,0,u,4.03,f,i,0.0,0,g,1,f,f,0
82,ff,g,17.92,f,0.0,a,f,0.0,0.001021,0,u,3.16,f,ff,0.0,50,g,0,f,f,0
83,v,g,27.67,f,0.25,a,f,180.0,0.000204,0,u,4.14,t,W,1800000.0,50,g,0,f,f,0
84,v,g,28.75,f,1.5,b,f,0.0,0.00015,0,y,5.05,t,c,0.0,225,p,0,t,f,0
85,h,g,37.75,f,11.5,b,t,300.0,0.0007,7,u,3.22,t,q,3000000.0,5,g,0,t,f,0
86,v,s,28.75,f,0.5,b,f,280.0,0.0001165,0,u,2.76,f,k,2800000.0,0,g,1,f,t,0
87,ff,g,23.5,f,4.5,b,f,160.0,0.000275,0,u,4.75,f,ff,1600000.0,25,g,1,f,f,0
88,v,g,29.5,f,1.0,a,f,280.0,0.0001085,0,y,2.43,f,x,2800000.0,13,p,1,f,f,0
89,ff,g,31.92,f,3.04,a,t,200.0,0.0003125,2,u,2.16,t,ff,2000000.0,4,g,0,f,f,0
90,v,g,18.83,f,0.165,b,t,200.0,4.15e-05,1,y,2.79,f,c,2000000.0,1,p,1,f,f,0
91,bb,g,26.75,f,2.5,b,f,200.0,0.00045,0,y,5.77,f,c,2000000.0,1210,p,1,f,f,0
92,ff,g,27.17,f,0.0,a,t,92.0,0.000125,1,u,2.49,f,ff,920000.0,300,g,0,f,f,0
93,v,g,47.17,f,5.5,b,f,465.0,0.0005835,0,u,3.73,f,W,4650000.0,150,g,1,f,f,0
94,v,g,23.75,f,0.04,b,t,128.0,4.15e-05,2,y,2.14,f,c,1280000.0,6,p,0,f,f,0
95,v,g,41.58,f,0.21,b,f,160.0,0.000175,0,u,2.15,f,k,1600000.0,0,g,0,t,f,0
96,dd,g,26.33,f,0.0,b,f,140.0,0.0013,0,u,2.99,t,e,1400000.0,1110,g,1,f,f,0
97,v,s,39.42,f,0.165,b,f,400.0,0.000171,0,y,4.68,f,m,4000000.0,0,p,0,f,f,0
98,h,g,35.25,f,3.75,b,f,680.0,0.0003165,0,u,2.85,t,x,6800000.0,0,g,0,t,f,0
99,ff,g,18.83,f,0.0,b,f,180.0,0.000354,0,y,4.16,t,ff,1800000.0,1,p,1,f,f,0
100,v,g,44.83,f,1.625,b,f,160.0,0.0007,0,y,1.86,f,c,1600000.0,2,p,1,f,f,0
101,ff,g,50.75,f,0.0,b,f,145.0,5.85e-05,0,u,2.92,f,ff,1450000.0,0,g,1,f,f,0
102,v,g,19.17,f,1.0,b,f,360.0,0.0004,0,y,2.54,t,i,3600000.0,1000,p,0,f,f,0
103,v,g,21.5,f,0.5,b,f,100.0,0.00115,0,u,2.95,t,i,1000000.0,68,g,1,f,t,0
104,v,g,20.42,t,1.585,a,t,0.0,8.35e-05,1,u,3.21,f,q,0.0,0,g,0,t,f,1
105,v,g,44.17,t,7.375,a,t,0.0,0.0006665,3,u,3.49,t,q,0.0,0,g,1,f,t,1
106,n,g,34.75,t,5.375,b,t,0.0,0.0015,9,u,3.57,t,r,0.0,134,g,1,f,t,1
107,v,s,20.5,t,2.5,b,f,40.0,0.001,0,y,2.71,f,c,400000.0,0,p,0,t,f,1
108,j,s,22.67,t,2.25,b,f,0.0,1.65e-05,0,u,1.89,t,c,0.0,0,g,1,f,f,1
109,h,g,22.08,t,2.165,b,f,128.0,8.3e-05,0,u,2.99,t,c,1280000.0,0,g,1,f,f,1
110,v,s,42.83,t,4.58,b,f,0.0,0.0004625,0,u,3.45,f,q,0.0,0,g,0,t,f,1
111,v,g,18.92,t,1.0,a,t,80.0,0.000925,4,y,4.34,t,c,800000.0,500,p,1,f,t,1
112,v,g,20.67,t,0.165,a,t,100.0,0.0003,3,u,3.06,f,q,1000000.0,6,g,0,t,f,1
113,v,g,32.33,t,0.04,a,f,440.0,5.4000000000000005e-05,0,u,3.02,f,cc,4400000.0,11177,g,0,t,f,1
114,h,g,28.92,t,5.335,b,t,0.0,0.0015,11,u,4.94,f,c,0.0,2283,g,0,t,f,1
115,v,g,52.83,t,5.5,a,t,0.0,0.0015,14,u,2.55,f,c,0.0,2200,g,1,f,t,1
116,v,g,20.67,t,2.085,a,t,220.0,0.0001835,5,u,3.74,f,q,2200000.0,2503,g,0,t,f,1
117,bb,g,36.25,t,2.5,b,t,0.0,0.0005,6,u,2.74,f,c,0.0,367,g,0,t,f,1
118,h,g,20.33,t,1.0,a,t,50.0,0.001,4,u,3.74,f,c,500000.0,1465,g,1,f,t,1
119,bb,g,25.75,t,0.25,b,f,349.0,7.5e-05,0,u,1.77,f,c,3490000.0,23,g,1,f,t,1
120,v,g,28.17,t,0.585,a,t,80.0,3.75e-05,4,u,2.8,f,q,800000.0,0,g,1,f,t,1
121,v,g,23.92,t,0.165,b,f,100.0,6.65e-05,0,u,3.04,f,c,1000000.0,0,g,1,f,f,1
122,h,g,56.0,t,8.0,b,f,24.0,0.00125,0,u,4.33,t,k,240000.0,2028,g,1,f,t,1
123,v,g,20.75,t,0.71,a,t,49.0,0.001025,2,u,2.85,t,q,490000.0,0,g,0,t,f,1
124,bb,g,30.5,t,4.0,a,t,0.0,0.00065,7,u,3.62,t,c,0.0,3065,g,0,t,f,1
125,v,g,45.83,t,5.0,a,t,0.0,0.00105,7,u,2.9,t,q,0.0,0,g,0,t,f,1
126,v,g,39.0,t,3.5,b,t,0.0,0.0005,10,u,2.47,t,cc,0.0,0,g,1,f,t,1
127,v,g,22.08,t,0.665,b,f,100.0,0.0011,0,u,4.01,f,cc,1000000.0,0,g,0,t,f,1
128,v,g,28.25,t,4.75,b,t,420.0,0.0005125,2,u,2.86,f,x,4200000.0,7,g,0,t,f,1
129,h,g,18.83,t,3.0,a,f,240.0,0.0004415,0,y,4.67,f,c,2400000.0,0,p,1,f,t,1
130,v,g,28.67,t,2.5,a,t,300.0,0.00010400000000000001,5,u,3.76,t,c,3000000.0,1430,g,0,t,f,1
131,v,g,22.5,t,2.46,a,f,164.0,0.0008460000000000001,0,y,3.17,f,x,1640000.0,0,p,0,f,f,1
132,ff,g,36.08,f,0.0,b,f,0.0,0.000254,0,u,3.28,f,ff,0.0,1000,g,1,f,f,0
133,v,g,20.0,f,0.125,b,f,140.0,0.000125,0,y,2.91,f,k,1400000.0,4,p,0,f,f,0
134,h,g,43.25,f,0.21,b,t,760.0,0.0025210000000000002,1,u,1.18,f,q,7600000.0,90,g,1,f,t,0
135,h,g,52.33,f,9.46,b,f,200.0,0.0001375,0,y,3.48,t,c,2000000.0,100,p,1,f,t,0
136,bb,g,19.33,f,0.585,b,t,200.0,0.0010915,2,u,3.98,t,c,2000000.0,7,g,1,f,f,0
137,v,g,23.58,f,2.625,b,t,208.0,4.6e-05,6,y,2.34,t,W,2080000.0,347,p,1,f,t,0
138,ff,g,69.17,f,4.0,b,t,70.0,0.0009,1,u,2.21,f,ff,700000.0,6,g,0,f,f,0
139,ff,g,24.92,f,0.0,a,f,80.0,0.000125,0,u,2.88,f,ff,800000.0,0,g,1,f,t,0
140,ff,g,23.58,f,0.125,a,f,120.0,5.85e-05,0,y,2.8,f,ff,1200000.0,87,p,1,f,f,0
141,v,g,20.0,f,0.5,b,f,144.0,0.0,0,u,3.74,f,d,1440000.0,0,g,0,f,f,0
142,v,g,32.0,f,1.25,a,f,272.0,0.0006,0,u,3.45,f,d,2720000.0,0,g,1,f,f,0
143,h,g,27.83,f,3.0,b,f,176.0,0.0001,0,y,4.35,f,d,1760000.0,537,p,0,f,f,0
144,v,g,29.83,f,0.25,b,f,224.0,0.000125,0,y,4.97,f,k,2240000.0,0,p,1,f,f,0
145,v,g,25.67,f,1.5,b,f,160.0,2.8999999999999997e-05,0,y,3.3,t,c,1600000.0,0,p,1,f,f,0
146,ff,g,31.25,f,0.0,b,t,176.0,0.0002835,5,u,3.3,f,ff,1760000.0,146,g,1,f,f,0
147,ff,g,23.08,f,0.085,b,f,100.0,0.00025,0,u,3.57,t,ff,1000000.0,4208,g,1,f,f,0
148,v,g,31.0,f,0.085,b,f,300.0,0.0002085,0,u,2.98,f,c,3000000.0,0,g,0,f,f,0
149,ff,g,22.17,f,0.0,b,f,100.0,5.85e-05,0,y,3.21,f,ff,1000000.0,0,p,1,f,f,0
150,v,g,45.17,f,2.5,b,f,140.0,0.00015,0,u,3.58,t,c,1400000.0,0,g,1,f,t,0
151,v,g,33.67,f,1.165,b,f,120.0,0.000125,0,u,3.08,f,W,1200000.0,0,g,1,f,f,0
152,bb,s,40.58,f,0.0,b,f,300.0,0.00015,0,u,3.38,f,i,3000000.0,0,g,0,f,f,0
153,h,g,16.33,f,0.415,b,f,120.0,0.0004085,0,u,3.14,t,i,1200000.0,0,g,1,f,f,0
154,v,g,35.75,f,0.125,b,t,220.0,0.00024150000000000002,2,u,4.11,f,W,2200000.0,1,g,1,f,f,0
155,ff,g,49.58,f,0.0,b,t,94.0,0.0019,1,u,2.69,f,ff,940000.0,0,g,1,f,t,0
156,v,s,30.25,f,5.5,a,f,100.0,0.00055,0,u,3.07,t,k,1000000.0,0,g,1,f,f,0
157,v,s,34.67,f,1.165,b,f,28.0,0.00010800000000000001,0,u,2.63,f,m,280000.0,0,g,1,f,f,0
158,v,g,50.25,f,0.5,a,f,240.0,8.35e-05,0,u,3.52,t,aa,2400000.0,117,g,1,f,f,0
159,ff,g,57.58,f,6.5,a,t,0.0,0.0002,1,u,3.95,f,ff,0.0,10,g,0,f,f,0
160,v,g,24.83,f,1.0,a,f,360.0,0.00045,0,u,3.52,t,W,3600000.0,6,g,1,f,f,0
161,v,g,22.25,f,0.085,b,f,0.0,0.0009,0,u,3.23,f,aa,0.0,0,g,0,f,f,0
162,h,g,21.08,f,1.25,b,f,260.0,0.0010085,0,y,3.61,f,e,2600000.0,0,p,1,f,f,0
163,ff,g,52.17,f,0.0,a,f,0.0,0.0,0,y,3.27,f,ff,0.0,0,p,0,f,f,0
164,h,g,23.58,f,3.0,a,f,20.0,0.00115,0,y,1.28,t,k,200000.0,16,p,1,f,f,0
165,v,g,21.5,f,0.25,b,f,140.0,0.000975,0,u,3.68,f,c,1400000.0,0,g,0,t,f,0
166,h,g,28.5,t,2.54,a,t,70.0,0.000304,1,y,2.95,f,x,700000.0,0,p,1,f,t,1
167,v,g,19.17,t,1.5,b,f,120.0,0.00095,0,u,4.59,f,W,1200000.0,2206,g,1,f,t,1
168,v,g,21.5,t,2.5,a,t,80.0,0.0006,3,u,5.49,f,aa,800000.0,918,g,1,f,t,1
169,o,p,17.5,t,0.0,b,f,450.0,0.0022,0,l,2.08,t,ff,4500000.0,100000,gg,1,f,f,1
170,v,g,26.67,t,5.25,b,t,211.0,0.000271,1,y,3.91,f,cc,2110000.0,0,p,0,t,f,1
171,bb,g,34.42,t,3.25,b,t,274.0,0.000425,2,u,3.44,f,i,2740000.0,610,g,0,t,f,1
172,ff,g,73.42,t,0.0,b,f,0.0,0.001775,0,u,2.8,t,ff,0.0,0,g,0,t,f,1
173,h,g,23.0,t,0.5,a,t,300.0,0.001175,2,u,3.94,t,x,3000000.0,551,g,1,f,t,1
174,v,g,23.08,t,1.085,b,t,60.0,0.00025,11,u,4.03,t,c,600000.0,2184,g,0,t,f,1
175,h,g,19.42,t,1.46,b,t,80.0,0.00065,7,u,3.23,f,W,800000.0,2954,g,0,t,f,1
176,v,g,23.33,t,0.835,b,f,160.0,0.0011625,0,y,3.02,t,W,1600000.0,300,p,1,f,t,1
177,h,g,42.17,t,12.75,b,f,92.0,0.000504,0,u,2.23,t,q,920000.0,0,g,0,t,f,1
178,v,g,21.25,t,1.5,b,f,150.0,0.00015,0,u,2.7,f,W,1500000.0,8,g,1,f,f,1
179,v,g,34.17,t,0.085,b,f,290.0,0.000525,0,u,3.09,t,W,2900000.0,6,g,1,f,f,1
180,v,g,47.75,t,7.875,a,t,0.0,0.0008,6,u,3.07,t,c,0.0,1260,g,0,t,f,1
181,v,g,44.33,t,2.5,a,f,0.0,0.0,0,u,4.27,f,c,0.0,0,g,1,f,t,1
182,bb,g,39.5,t,6.5,b,t,117.0,0.000425,16,u,3.05,f,c,1170000.0,1210,g,1,f,t,1
183,v,g,41.17,t,0.5,a,t,145.0,0.00065,3,u,5.22,t,q,1450000.0,0,g,1,f,t,1
184,h,g,29.92,t,4.335,b,f,260.0,0.0001835,0,u,2.89,f,c,2600000.0,200,g,1,f,t,1
185,v,g,35.17,t,4.5,b,t,150.0,0.00025,7,u,3.48,f,k,1500000.0,1270,g,0,t,f,1
186,h,g,19.17,t,0.75,a,t,96.0,0.0008585000000000001,7,u,2.23,f,cc,960000.0,0,g,1,f,t,1
187,v,g,52.5,t,6.29,b,t,0.0,0.00065,15,u,3.9,f,k,0.0,11202,g,1,f,t,1
188,v,g,39.92,t,0.04,b,t,200.0,0.000621,1,u,3.35,f,q,2000000.0,300,g,0,t,f,1
189,v,g,21.33,t,3.0,b,f,0.0,0.00105,0,u,2.96,t,c,0.0,0,g,0,t,f,1
190,v,g,35.75,t,0.75,a,t,0.0,9.15e-05,4,u,4.17,f,aa,0.0,1583,g,1,f,t,1
191,z,g,67.75,t,13.0,b,t,0.0,0.00055,1,u,3.83,t,e,0.0,0,g,0,t,f,1
192,h,g,32.67,t,5.25,b,f,154.0,0.0009,0,y,4.34,t,W,1540000.0,0,p,0,t,f,1
193,bb,g,49.5,t,7.585,b,t,0.0,0.0007585,15,u,2.3,t,i,0.0,5000,g,0,t,f,1
194,v,g,21.0,t,1.085,b,t,160.0,0.0003,8,y,2.76,t,d,1600000.0,1,p,1,f,t,1
195,h,g,52.5,f,3.0,a,f,0.0,0.0007,0,u,2.31,f,aa,0.0,0,g,1,f,f,0
196,v,g,33.25,f,2.0,a,f,180.0,0.0003,0,y,0.3,f,aa,1800000.0,0,p,1,f,f,0
197,dd,g,18.33,f,0.0,b,f,100.0,0.000121,0,y,3.65,f,e,1000000.0,0,p,1,f,f,0
198,v,g,29.5,f,0.29,b,t,340.0,5.7999999999999994e-05,1,u,4.56,f,W,3400000.0,2803,g,1,f,f,0
199,v,g,22.17,f,0.125,b,f,160.0,0.000225,0,u,3.99,f,i,1600000.0,10,g,1,f,f,0
200,v,s,22.92,f,0.085,b,f,0.0,1.7e-05,0,u,1.99,f,m,0.0,0,g,1,f,f,0
201,v,g,19.42,f,0.04,b,t,100.0,0.000725,1,u,2.47,f,m,1000000.0,1,g,1,f,f,0
202,h,g,26.17,f,1.25,b,f,0.0,0.00125,0,y,1.53,t,k,0.0,17,p,0,f,f,0
203,h,g,27.58,f,5.085,b,t,369.0,0.000325,2,y,4.55,t,q,3690000.0,1,p,0,f,f,0
204,v,g,16.0,f,0.085,b,t,0.0,0.0003125,1,u,2.99,f,W,0.0,6,g,1,f,f,0
205,v,g,28.58,f,0.25,a,t,40.0,0.000375,1,u,2.35,t,c,400000.0,154,g,0,f,f,0
206,ff,g,38.75,f,0.0,a,f,76.0,0.00015,0,u,4.2,f,ff,760000.0,0,g,1,f,f,0
207,v,g,32.08,f,1.5,b,f,120.0,0.0004,0,y,3.07,t,cc,1200000.0,0,p,1,f,f,0
208,v,s,18.25,f,0.25,b,f,280.0,1.65e-05,0,u,1.8,t,d,2800000.0,0,g,1,f,f,0
209,j,g,21.75,t,0.0,a,f,160.0,0.000175,0,y,3.3,f,j,1600000.0,0,p,0,f,f,0
210,v,g,18.58,f,0.54,b,f,120.0,0.000571,0,u,3.35,f,d,1200000.0,0,g,0,f,f,0
211,v,s,23.0,f,0.5,b,f,320.0,7.5e-05,0,u,3.48,t,m,3200000.0,0,g,0,f,f,0
212,v,g,22.67,f,2.0,a,t,200.0,7.5e-05,2,u,3.73,t,c,2000000.0,394,g,0,f,f,0
213,v,g,23.0,f,0.125,b,f,180.0,6.25e-05,0,y,3.96,f,aa,1800000.0,1,p,0,t,f,0
214,v,g,22.25,f,0.125,b,f,280.0,4.6e-05,0,u,2.12,t,k,2800000.0,55,g,1,f,f,0
215,ff,s,53.33,f,0.0,a,f,62.0,1.65e-05,0,u,2.72,t,ff,620000.0,27,g,1,f,f,0
216,v,g,24.5,f,0.0,a,f,120.0,0.00024150000000000002,0,y,3.76,f,c,1200000.0,0,p,0,f,f,0
217,v,g,25.92,f,0.375,b,t,174.0,8.75e-05,2,u,3.93,t,k,1740000.0,3,g,0,f,f,0
218,v,g,16.33,f,0.665,b,t,80.0,0.000275,1,u,3.02,f,aa,800000.0,21,g,1,f,f,0
219,v,g,34.0,f,1.0,b,f,240.0,0.00045,0,u,1.72,t,aa,2400000.0,0,g,1,f,t,0
220,ff,g,49.17,f,0.29,b,f,200.0,0.000229,0,u,2.98,f,ff,2000000.0,3,g,0,f,f,0
221,v,g,23.5,f,0.875,a,f,160.0,0.00015,0,u,2.74,t,W,1600000.0,0,g,0,f,f,0
222,v,g,19.58,f,1.665,a,f,220.0,6.65e-05,0,u,2.93,f,W,2200000.0,5,g,1,f,f,0
223,v,s,21.17,f,0.5,b,f,0.0,0.0,0,u,4.17,t,c,0.0,0,g,0,f,f,0
224,v,g,38.33,f,0.125,a,f,160.0,0.0004415,0,u,4.0,f,c,1600000.0,0,g,1,f,f,0
225,v,g,37.5,f,0.04,b,f,120.0,8.35e-05,0,u,3.56,f,e,1200000.0,5,g,1,f,f,0
226,ff,g,21.08,f,0.0,a,f,0.0,0.0005,0,y,2.61,f,ff,0.0,0,p,1,f,f,0
227,v,g,28.0,f,0.75,b,f,300.0,0.0003,0,u,5.93,t,W,3000000.0,67,g,1,f,f,0
228,v,g,25.17,f,1.25,b,t,0.0,0.0003,1,u,1.69,f,c,0.0,22,g,0,f,f,0
229,v,g,32.92,f,1.75,b,t,720.0,0.00025,2,u,1.71,t,aa,7200000.0,0,g,0,f,f,0
230,v,g,22.75,f,0.165,a,f,220.0,0.0006165,0,u,3.66,f,aa,2200000.0,1000,g,1,f,f,0
